dataset	label	definition
Dcase2017t4	Boing	A bouncing or spring-like sound with a tonal component that sweeps upwards
ESC50	brushing_teeth	The act of cleaning one's teeth with a toothbrush and toothpaste to remove plaque and maintain oral hygiene
ESC50	can_opening	The sound of a sharp snap and a crisp hiss as the tab lifts the lid, breaking the seal and releasing pressure
UrbanSound8K	children_playing	The sound of children at play, including any of vocalization or the sounds of their activities
AudioSet	Domestic sounds, home sounds	Sounds that suggest they have been recorded in the home
Fsd50k	Domestic_sounds_and_home_sounds	Sounds that suggest they have been recorded in the home
ESC50	door_wood_creaks	Abrupt sounds of individual ruptures in a rigid substance under stress
AudioSet	Filing (rasp)	Sounds of a common wood- and metal-working tool used to remove fine amounts of material from a workpiece
AudioSet	Human group actions	Sounds produced by groups of humans rather than individuals
Fsd50k	Human_group_actions	Sounds produced by groups of humans rather than individuals
AudioSet	Shuffling cards	The sound of playing cards being manually rearranged into a random order
Dcase2017t4	Snicker	A disrespectful laugh
ESC50	water_drops	Sounds clearly attributable to drops of water
TUT2017	beach	An area of sand or small stones near the sea or another area of water such as a lake
TUT2017	bus	A large vehicle in which people are driven from one place to another 
TUT2017	cafe/restaurant	A restaurant where simple and usually quite cheap meals are served
TUT2017	car	A road vehicle with an engine, usually four wheels, and seating for between one and five people
TUT2017	city_center	The central part of a city
TUT2017	forest_path	Path in a woodland area
TUT2017	grocery_store	A shop that sells food and small things that are often needed in the home
TUT2017	home	The house, apartment, etc. where you live, especially with your family
TUT2017	library	A building, room, or organization that has a collection esp. of books, music, and information that can be accessed by computer for people to read, use, or borrow
TUT2017	metro_station	An underground electric railway system in some cities
TUT2017	office	A room or part of a building in which people work, especially sitting at tables with computers, phones, etc., usually as a part of a business or other organization
TUT2017	park	A large area of land with grass and trees which is maintained for the pleasure of the public
TUT2017	residential_area	A district where people live; occupied primarily by private residences
TUT2017	train	A railroad engine and the connected, wheeled containers it pulls along the tracks in carrying goods or people
TUT2017	tram	An electric vehicle that transports people, usually in cities, and goes along metal tracks in the road
