dataset	label	definition
Fsd50k	Motorcycle	a vehicle with two wheels and an engine
AudioSet	Motorcycle	a vehicle with two wheels and an engine
Dcase2017t4	Motorcycle	a vehicle with two wheels and an engine
Fsd50k	Ocean	a very large area of sea
AudioSet	Ocean	a very large area of sea
Dcase2017t4	Ocean	a very large area of sea
AudioSet	Whale vocalization	a very large sea mammal that breathes air through a hole at the top of its head
AudioSet	Aircraft engine	a very powerful engine. When fuel is burned inside the engine, hot air and gases are produced and then pushed out of the back of the engine at high speed, forcing the engine forward.
AudioSet	Jet engine	a very powerful engine. When fuel is burned inside the engine, hot air and gases are produced and then pushed out of the back of the engine at high speed, forcing the engine forward.
Dcase2017t4	Jet engine	a very powerful engine. When fuel is burned inside the engine, hot air and gases are produced and then pushed out of the back of the engine at high speed, forcing the engine forward.
AudioSet	Cap gun	a very small amount of explosive powder in a paper container, used especially in toy guns to produce a loud noise
Dcase2017t4	Cap gun	a very small amount of explosive powder in a paper container, used especially in toy guns to produce a loud noise
Fsd50k	Alarm	a warning of danger, usually a loud noise or flashing light
AudioSet	Alarm	a warning of danger, usually a loud noise or flashing light
Dcase2017t4	Alarm	a warning of danger, usually a loud noise or flashing light
AudioSet	Car alarm	a warning of danger, usually a loud noise or flashing light
Dcase2017t4	Car alarm	a warning of danger, usually a loud noise or flashing light
Fsd50k	Whispering	a way of speaking very quietly, using the breath but not the voice, so that only the person close to you can hear you
AudioSet	Whispering	a way of speaking very quietly, using the breath but not the voice, so that only the person close to you can hear you
Dcase2017t4	Whispering	a way of speaking very quietly, using the breath but not the voice, so that only the person close to you can hear you
AudioSet	Arrow	a weapon that is like a long, thin stick with a sharp point at one end and often feathers at the other, shot from a bow (= a long, thin piece of wood bent into a curve by a piece of string)
AudioSet	Steelpan	a wide metal drum shaped like a bowl, traditionally made from an oil container, used especially in popular music from the Caribbean islands
Dcase2017t4	Steelpan	a wide metal drum shaped like a bowl, traditionally made from an oil container, used especially in popular music from the Caribbean islands
AudioSet	Canidae, dogs, wolves	a wild animal of the dog family
Dcase2017t4	Canidae, dogs, wolves	a wild animal of the dog family
AudioSet	Rattle (instrument)	a wooden device that when turned round and round produces a noise like a series of knocks
Fsd50k	Rattle_(instrument)	a wooden device that when turned round and round produces a noise like a series of knocks
AudioSet	Violin, fiddle	a wooden musical instrument with four strings that is held against the neck and played by moving a bow across the strings
Dcase2017t4	Violin, fiddle	a wooden musical instrument with four strings that is held against the neck and played by moving a bow across the strings
AudioSet	Cello	a wooden musical instrument with four strings, that is held vertically between the legs and is played by moving a bow across the strings
Dcase2017t4	Cello	a wooden musical instrument with four strings, that is held vertically between the legs and is played by moving a bow across the strings
AudioSet	Chop	an act of cutting something with an axe, knife, or other sharp instrument
ESC50	hen	an adult female chicken, often kept for its eggs
AudioSet	Shofar	an ancient musical horn typically made of a ram's horn, used for Jewish religious purposes
AudioSet	Donkey, ass	an animal like a small horse with long ears
AudioSet	Goat	an animal related to sheep that usually has horns and a beard. Goats live wild on mountains or are kept on farms to provide milk, meat, wool, etc.
Dcase2017t4	Goat	an animal related to sheep that usually has horns and a beard. Goats live wild on mountains or are kept on farms to provide milk, meat, wool, etc.
AudioSet	Domestic animals, pets	an animal that is not wild and is kept as a pet or to produce food
Dcase2017t4	Domestic animals, pets	an animal that is not wild and is kept as a pet or to produce food
Fsd50k	Domestic_animals_and_pets	an animal that is not wild and is kept as a pet or to produce food
AudioSet	Train whistle	an audible signaling device on a steam or gas locomotive, used to warn that the train is approaching, and to communicate with rail workers
Dcase2017t4	Train whistle	an audible signaling device on a steam or gas locomotive, used to warn that the train is approaching, and to communicate with rail workers
AudioSet	Chorus effect	an audio effect that occurs when individual sounds with approximately the same time, and very similar pitches, converge
AudioSet	Field recording	an audio recording produced outside a recording studio
Dcase2017t4	Field recording	an audio recording produced outside a recording studio
AudioSet	Unmodified field recording	an audio recording produced outside a recording studio
AudioSet	Machine gun	an automatic gun that can fire a lot of bullets one after the other very quickly
Dcase2017t4	Machine gun	an automatic gun that can fire a lot of bullets one after the other very quickly
AudioSet	Electric shaver, electric razor	an electric device for shaving hair from someone's face or body
AudioSet	Mechanical fan	an electric device with blades that turn quickly, used to move the air around
Dcase2017t4	Mechanical fan	an electric device with blades that turn quickly, used to move the air around
Fsd50k	Mechanical_fan	an electric device with blades that turn quickly, used to move the air around
AudioSet	Bass guitar	an electric guitar with four strings that plays very low notes
Dcase2017t4	Bass guitar	an electric guitar with four strings that plays very low notes
Fsd50k	Bass_guitar	an electric guitar with four strings that plays very low notes
AudioSet	Blender	an electric machine used in the kitchen for breaking down foods or making smooth liquid substances from soft foods and liquids
Dcase2017t4	Blender	an electric machine used in the kitchen for breaking down foods or making smooth liquid substances from soft foods and liquids
AudioSet	Microwave oven	an electric oven that uses waves of energy to cook or heat food quickly
Dcase2017t4	Microwave oven	an electric oven that uses waves of energy to cook or heat food quickly
Fsd50k	Microwave_oven	an electric oven that uses waves of energy to cook or heat food quickly
AudioSet	Hair dryer	an electrical device, usually held in the hand, that blows out hot air and is used for drying a person's hair
AudioSet	Electronic tuner	an electronic device for checking the notes played on a musical instrument so that they can be corrected
AudioSet	Effects unit	an electronic device that alters the sound of a musical instrument or other audio source through audio signal processing
Dcase2017t4	Effects unit	an electronic device that alters the sound of a musical instrument or other audio source through audio signal processing
AudioSet	Buzzer	an electronic device that makes a buzzing sound
Dcase2017t4	Buzzer	an electronic device that makes a buzzing sound
AudioSet	Synthesizer	an electronic keyboard instrument that can produce and combine a large range of recorded sounds, often in order to copy other musical instruments or voices
Dcase2017t4	Synthesizer	an electronic keyboard instrument that can produce and combine a large range of recorded sounds, often in order to copy other musical instruments or voices
AudioSet	Drum machine	an electronic machine that produces the sound of drums
Dcase2017t4	Drum machine	an electronic machine that produces the sound of drums
AudioSet	Theremin	an electronic musical instrument controlled without physical contact by the performer
Dcase2017t4	Theremin	an electronic musical instrument controlled without physical contact by the performer
AudioSet	Clavinet	an electronic musical instrument similar to a piano
AudioSet	Electric piano	an electronic musical instrument similar to a piano
Dcase2017t4	Electric piano	an electronic musical instrument similar to a piano
AudioSet	Keyboard (musical)	an electronic musical instrument similar to a piano
Fsd50k	Keyboard_(musical)	an electronic musical instrument similar to a piano
AudioSet	Rhodes piano	an electronic musical instrument similar to a piano
Fsd50k	Tabla	an Indian musical instrument consisting of a pair of small drums that you play with your palms and fingers
AudioSet	Tabla	an Indian musical instrument consisting of a pair of small drums that you play with your palms and fingers
Dcase2017t4	Tabla	an Indian musical instrument consisting of a pair of small drums that you play with your palms and fingers
AudioSet	Marimba_and_xylophone	an instrument like a xylophone but with a lower sound, having a row of wooden bars fixed along a frame that you hit with sticks
Fsd50k	Marimba, xylophone	an instrument like a xylophone but with a lower sound, having a row of wooden bars fixed along a frame that you hit with sticks
AudioSet	Singing bowl	an inverted bell, supported from below with the rim uppermost
AudioSet	Musical instrument	an object, such as a piano, guitar, or drum, that is played to produce musical sounds
Dcase2017t4	Musical instrument	an object, such as a piano, guitar, or drum, that is played to produce musical sounds
Fsd50k	Musical_instrument	an object, such as a piano, guitar, or drum, that is played to produce musical sounds
AudioSet	Police car (siren)	an official car used by the police
Dcase2017t4	Police car (siren)	an official car used by the police
AudioSet	Cacophony	an unpleasant mixture of loud sounds
Dcase2017t4	Cacophony	an unpleasant mixture of loud sounds
AudioSet	Squawk	an unpleasantly loud, sharp noise made by a bird
Fsd50k	Livestock_and_farm_animals_and_working_animals	animals and birds that are kept on a farm, such as cows, sheep, or chickens
AudioSet	Livestock, farm animals, working animals	animals and birds that are kept on a farm, such as cows, sheep, or chickens
Dcase2017t4	Livestock, farm animals, working animals	animals and birds that are kept on a farm, such as cows, sheep, or chickens
Fsd50k	Aircraft	any vehicle, with or without an engine, that can fly, such as a plane or helicopter
AudioSet	Aircraft	any vehicle, with or without an engine, that can fly, such as a plane or helicopter
Dcase2017t4	Aircraft	any vehicle, with or without an engine, that can fly, such as a plane or helicopter
AudioSet	Sidetone	audible feedback to someone speaking or otherwise producing sound as an indication of active transmission.
Dcase2017t4	Sidetone	audible feedback to someone speaking or otherwise producing sound as an indication of active transmission.
AudioSet	Power windows, electric windows	automobile windows which can be raised and lowered by pressing a button or switch, as opposed to using a crank handle
Dcase2017t4	Power windows, electric windows	automobile windows which can be raised and lowered by pressing a button or switch, as opposed to using a crank handle
AudioSet	String section	bowed instruments belonging to the violin family
Dcase2017t4	String section	bowed instruments belonging to the violin family
AudioSet	Respiratory sounds	breathing
Fsd50k	Respiratory_sounds	breathing
AudioSet	Patter	continuous and sometimes funny speech or talk, especially used by someone trying to sell things or by an entertainer
AudioSet	Scratching (performance technique)	cuts on or damage to a surface caused by something hard or rough rubbing on it
Fsd50k	Scratching (performance technique)	cuts on or damage to a surface caused by something hard or rough rubbing on it
Dcase2017t4	Scratching (performance technique)	cuts on or damage to a surface caused by something hard or rough rubbing on it
Fsd50k	Scratching_(performance_technique)	cuts on or damage to a surface caused by something hard or rough rubbing on it
AudioSet	Sound equipment	devices that reproduce, record, or process sound
AudioSet	Musical note	distinct and isolatable sounds that act as the most basic building blocks for nearly all of music
ESC50	rain	drops of water from clouds
Fsd50k	Rain	drops of water from clouds
AudioSet	Rain	drops of water from clouds
Dcase2017t4	Rain	drops of water from clouds
AudioSet	Rain on surface	drops of water from clouds
Dcase2017t4	Rain on surface	drops of water from clouds
AudioSet	Sonar	equipment, especially on a ship, that uses sound waves to discover how deep the water is or the position of an object in the water, such as a group of fish
Dcase2017t4	Sonar	equipment, especially on a ship, that uses sound waves to discover how deep the water is or the position of an object in the water, such as a group of fish
AudioSet	Throat clearing	expelling air from one's lungs, sometimes to clear mucus, sometimes to attract attention to something
Fsd50k	Boiling	extremely hot
AudioSet	Boiling	extremely hot
Dcase2017t4	Boiling	extremely hot
AudioSet	Techno	fast electronic dance music with a regular beat
Dcase2017t4	Techno	fast electronic dance music with a regular beat
AudioSet	Dental drill, dentist's drill	hand-held, mechanical instrument used to perform a variety of common dental procedures, including removing decay, polishing fillings, performing cosmetic dentistry, and altering prostheses
Dcase2017t4	Dental drill, dentist's drill	hand-held, mechanical instrument used to perform a variety of common dental procedures, including removing decay, polishing fillings, performing cosmetic dentistry, and altering prostheses
AudioSet	Howl	If a dog or wolf howls, it makes a long, sad sound
Dcase2017t4	Howl	If a dog or wolf howls, it makes a long, sad sound
AudioSet	Honk	If a goose or a car horn honks, it makes a short, loud sound.
Dcase2017t4	Honk	If a goose or a car horn honks, it makes a short, loud sound.
Fsd50k	Drip	If a liquid drips, it falls in drops, or you make it fall in drops
AudioSet	Drip	If a liquid drips, it falls in drops, or you make it fall in drops
Fsd50k	Splash_and_splatter	If a liquid splashes or if you splash a liquid, it falls on or hits something or someone
AudioSet	Splash, splatter	If a liquid splashes or if you splash a liquid, it falls on or hits something or someone
UrbanSound8K	engine_idling	If an engine or machine idles, it runs slowly but does not move or do any work
Fsd50k	Idling	If an engine or machine idles, it runs slowly but does not move or do any work
AudioSet	Idling	If an engine or machine idles, it runs slowly but does not move or do any work
Dcase2017t4	Idling	If an engine or machine idles, it runs slowly but does not move or do any work
AudioSet	Toilet flush	If you flush a toilet, or if a toilet flushes, its contents empty and it fills with water again
ESC50	toilet_flush	If you flush a toilet, or if a toilet flushes, its contents empty and it fills with water again
Fsd50k	Toilet_flush	If you flush a toilet, or if a toilet flushes, its contents empty and it fills with water again
AudioSet	Sound effect	in a radio or television programme or a film, one of the sounds other than speech or music that are added to make it seem more exciting or real
Dcase2017t4	Sound effect	in a radio or television programme or a film, one of the sounds other than speech or music that are added to make it seem more exciting or real
AudioSet	Beat	in music, a regular emphasis, or a place in the music where such an emphasis is expected
Fsd50k	Cutlery_and_silverware	knives, forks, and spoons used for eating food
AudioSet	Cutlery, silverware	knives, forks, and spoons used for eating food
Dcase2017t4	Cutlery, silverware	knives, forks, and spoons used for eating food
AudioSet	Pop music	modern popular music, usually with a strong beat, created with electrical or electronic equipment, and easy to listen to and remember
Dcase2017t4	Pop music	modern popular music, usually with a strong beat, created with electrical or electronic equipment, and easy to listen to and remember
AudioSet	Electronica	music made using instruments such as synthesizers (= electronic keyboards) and electronic drums, often containing samples (= small pieces) of recorded sound. There are many different types of electronica
Dcase2017t4	Electronica	music made using instruments such as synthesizers (= electronic keyboards) and electronic drums, often containing samples (= small pieces) of recorded sound. There are many different types of electronica
AudioSet	Classical music	music that is considered to be part of a long, formal tradition and to have lasting value
AudioSet	Theme music	music that is written for and played during a particular television programme or film
Dcase2017t4	Theme music	music that is written for and played during a particular television programme or film
AudioSet	Mallet percussion	musical instruments that you play by hitting them with your hand or an object such as a stick
Dcase2017t4	Mallet percussion	musical instruments that you play by hitting them with your hand or an object such as a stick
Fsd50k	Mallet_percussion	musical instruments that you play by hitting them with your hand or an object such as a stick
Fsd50k	Percussion	musical instruments that you play by hitting them with your hand or an object such as a stick
AudioSet	Percussion	musical instruments that you play by hitting them with your hand or an object such as a stick
Dcase2017t4	Percussion	musical instruments that you play by hitting them with your hand or an object such as a stick
AudioSet	Static	noise on a radio or television caused by electricity in the air
AudioSet	Snoring	noisy breathing while you are sleeping
ESC50	snoring	noisy breathing while you are sleeping
AudioSet	Outside, rural or natural	not inside a building
Dcase2017t4	Outside, rural or natural	not inside a building
AudioSet	Outside, urban or manmade	not inside a building
Dcase2017t4	Outside, urban or manmade	not inside a building
AudioSet	Flap	part of the back of an aircraft wing that can be moved up or down to help the aircraft go up or down
AudioSet	Pizzicato	played by plucking the strings of a musical instrument such as a violin or cello with the fingers instead of using a bow
Dcase2017t4	Pizzicato	played by plucking the strings of a musical instrument such as a violin or cello with the fingers instead of using a bow
AudioSet	Tapping (guitar technique)	playing technique that can be used on any stringed instrument, but which is most commonly used on guitar
AudioSet	House music	popular dance music with a fast regular beat, usually produced on electronic equipment
Dcase2017t4	House music	popular dance music with a fast regular beat, usually produced on electronic equipment
AudioSet	Soul music	popular music that expresses deep feelings, originally performed by Black Americans
Dcase2017t4	Soul music	popular music that expresses deep feelings, originally performed by Black Americans
AudioSet	Artillery fire	ranged weapons that launch munitions far beyond the range and power of infantry firearms
Fsd50k	Cheering	shouts of encouragement and approval
AudioSet	Cheering	shouts of encouragement and approval
Dcase2017t4	Cheering	shouts of encouragement and approval
ESC50	fireworks	small containers filled with explosive chemicals that make a loud noise when they explode and sometimes produce bright, colored patterns
Fsd50k	Fireworks	small containers filled with explosive chemicals that make a loud noise when they explode and sometimes produce bright, colored patterns
AudioSet	Fireworks	small containers filled with explosive chemicals that make a loud noise when they explode and sometimes produce bright, colored patterns
AudioSet	Baby cry, infant cry	someone, usually a child, who cries a lot without good reason
Dcase2017t4	Baby cry, infant cry	someone, usually a child, who cries a lot without good reason
ESC50	crying_baby	someone, usually a child, who cries a lot without good reason
Fsd50k	Animal	something that lives and moves but is not a human, bird, fish, or insect
AudioSet	Animal	something that lives and moves but is not a human, bird, fish, or insect
Dcase2017t4	Animal	something that lives and moves but is not a human, bird, fish, or insect
ESC50	engine	something that provides power, often economic power, for other things
AudioSet	Music of Bollywood	songs featured in Hindi films
Dcase2017t4	Music of Bollywood	songs featured in Hindi films
AudioSet	A capella	sung by a group of people without any musical instruments
AudioSet	Female speech, woman speaking	the ability to talk, the activity of talking, or a piece of spoken language
Dcase2017t4	Female speech, woman speaking	the ability to talk, the activity of talking, or a piece of spoken language
Fsd50k	Female_speech_and_woman_speaking	the ability to talk, the activity of talking, or a piece of spoken language
AudioSet	Male speech, man speaking	the ability to talk, the activity of talking, or a piece of spoken language
Dcase2017t4	Male speech, man speaking	the ability to talk, the activity of talking, or a piece of spoken language
Fsd50k	Male_speech_and_man_speaking	the ability to talk, the activity of talking, or a piece of spoken language
Fsd50k	Speech	the ability to talk, the activity of talking, or a piece of spoken language
AudioSet	Speech	the ability to talk, the activity of talking, or a piece of spoken language
Dcase2017t4	Speech	the ability to talk, the activity of talking, or a piece of spoken language
AudioSet	Speech synthesizer	the ability to talk, the activity of talking, or a piece of spoken language
Fsd50k	Speech_synthesizer	the ability to talk, the activity of talking, or a piece of spoken language
AudioSet	Finger snapping	the act of creating a snapping or clicking sound with one's fingers
Dcase2017t4	Finger snapping	the act of creating a snapping or clicking sound with one's fingers
Fsd50k	Finger_snapping	the act of creating a snapping or clicking sound with one's fingers
Fsd50k	Crying_and_sobbing	the act of crying, or the sound of someone crying
AudioSet	Crying, sobbing	the act of crying, or the sound of someone crying
Dcase2017t4	Crying, sobbing	the act of crying, or the sound of someone crying
AudioSet	Clicking	the act of pressing a button on the mouse (= small control device) of a computer to operate it
AudioSet	Stir	the act of stirring a liquid or other substance in order to mix it
ESC50	breathing	the act or process of taking air into your lungs and releasing it
Fsd50k	Breathing	the act or process of taking air into your lungs and releasing it
AudioSet	Breathing	the act or process of taking air into your lungs and releasing it
AudioSet	Squish	the act or sound of crushing something that is soft
AudioSet	Baby laughter	the act or sound of laughing
Fsd50k	Laughter	the act or sound of laughing
AudioSet	Laughter	the act or sound of laughing
Dcase2017t4	Laughter	the act or sound of laughing
AudioSet	Flap	the action of a bird waving its wings when flying, or of something else moving in this way
ESC50	glass_breaking	the action of damaging or destroying a glass object
AudioSet	Child singing	the activity of making musical sounds with the voice, usually a tune with words
Dcase2017t4	Child singing	the activity of making musical sounds with the voice, usually a tune with words
AudioSet	Female singing	the activity of making musical sounds with the voice, usually a tune with words
Dcase2017t4	Female singing	the activity of making musical sounds with the voice, usually a tune with words
Fsd50k	Female_singing	the activity of making musical sounds with the voice, usually a tune with words
AudioSet	Male singing	the activity of making musical sounds with the voice, usually a tune with words
Dcase2017t4	Male singing	the activity of making musical sounds with the voice, usually a tune with words
Fsd50k	Male_singing	the activity of making musical sounds with the voice, usually a tune with words
Fsd50k	Singing	the activity of making musical sounds with the voice, usually a tune with words
AudioSet	Singing	the activity of making musical sounds with the voice, usually a tune with words
Dcase2017t4	Singing	the activity of making musical sounds with the voice, usually a tune with words
AudioSet	Synthetic singing	the activity of making musical sounds with the voice, usually a tune with words
